protocol, port, name
TCP/UDP,598,SCO Web Server Manager 3
TCP/UDP,599,Aeolon Core Protocol
TCP/UDP,600,Sun IPC server
TCP/UDP,606,Cray Unified Resource Manager
TCP/UDP,607,nqs
TCP/UDP,608,Sender-Initiated/Unsolicited File Transfer
TCP/UDP,609,npmp-trap
TCP/UDP,610,Apple Admin Service / npmp-local
TCP/UDP,611,npmp-gui
TCP/UDP,612,HMMP Indication
TCP/UDP,613,HMMP Operation
TCP/UDP,614,SSLshell
TCP/UDP,615,Internet Configuration Manager
TCP/UDP,616,SCO System Administration Server
TCP/UDP,617,SCO Desktop Administration Server
TCP/UDP,618,DEI-ICDA
TCP/UDP,619,Digital EVM
TCP/UDP,620,SCO WebServer Manager
TCP/UDP,621,ESCP
TCP/UDP,622,Collaborator
TCP/UDP,623,Aux Bus Shunt
TCP/UDP,624,Crypto Admin
TCP/UDP,625,DEC DLM
TCP/UDP,626,ASIA
TCP/UDP,627,PassGo Tivoli
TCP/UDP,628,QMQP
TCP/UDP,629,3Com AMP3
TCP/UDP,630,RDA
TCP/UDP,631,IPP (Internet Printing Protocol)
TCP/UDP,632,bmpp
TCP/UDP,633,Service Status update (Sterling Software)
TCP/UDP,634,ginad
TCP/UDP,635,RLZ DBase
TCP/UDP,636,LDAP protocol over TLS/SSL
TCP/UDP,637,lanserver
TCP/UDP,638,mcns-sec
TCP/UDP,639,MSDP
TCP/UDP,640,entrust-sps
TCP/UDP,641,repcmd
TCP/UDP,642,ESRO-EMSDP V1.3
TCP/UDP,643,SANity
TCP/UDP,644,dwr
TCP/UDP,645,PSSC
TCP/UDP,646,LDP
TCP/UDP,647,DHCP Failover
TCP/UDP,648,Registry Registrar Protocol (RRP)
TCP/UDP,649,Aminet
TCP/UDP,650,OBEX
TCP/UDP,651,IEEE MMS
TCP/UDP,652,UDLR_DTCP
TCP/UDP,653,RepCmd
TCP/UDP,654,AODV
TCP/UDP,655,TINC
TCP/UDP,656,SPMP
TCP/UDP,657,RMC
TCP/UDP,658,TenFold
TCP/UDP,659,URL Rendezvous
TCP/UDP,660,MacOS Server Admin
TCP/UDP,661,HAP
TCP/UDP,662,PFTP
TCP/UDP,663,PureNoise
TCP/UDP,664,Secure Aux Bus
TCP/UDP,665,Sun DR
TCP/UDP,666,doom Id Software
TCP/UDP,667,campaign contribution disclosures - SDR Technologies
TCP/UDP,668,MeComm
TCP/UDP,669,MeRegister
TCP/UDP,670,VACDSM-SWS
TCP/UDP,671,VACDSM-APP
TCP/UDP,672,VPPS-QUA
TCP/UDP,673,CIMPLEX
TCP/UDP,674,ACAP
TCP/UDP,675,DCTP
TCP/UDP,676,VPPS Via
TCP/UDP,677,Virtual Presence Protocol
TCP/UDP,678,GNU Gereration Foundation NCP
TCP/UDP,679,MRM
TCP/UDP,680,entrust-aaas
TCP/UDP,681,entrust-aams
TCP/UDP,682,XFR
TCP/UDP,683,CORBA IIOP
TCP/UDP,684,CORBA IIOP SSL
TCP/UDP,685,MDC Port Mapper
